antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,has_demographic
dti_bin=DTI_High,outcome=denied,0.15930460664276533,0.23889409650080692,0.10705346875271789,0.6720048528965726,2.812982249204734,1.0,0.06899653868037803,2.320479160196818,0.766633676014646,0.36769782262347317,0.5690545223792564,0.560062941799607,False
"dti_bin=DTI_High, occupancy=PrimaryRes",outcome=denied,0.1531392236255931,0.23889409650080692,0.10154521119819097,0.6630908058307566,2.775668446995369,1.0,0.06496115473131989,2.2590832089814037,0.7554092016473088,0.34956753160345977,0.5573425555887827,0.5440772584228416,False
dti_bin=DTI_High,"occupancy=PrimaryRes, outcome=denied",0.15930460664276533,0.22587721417458279,0.10154521119819097,0.6374279648164999,2.8220109192768126,1.0,0.0655619304445454,2.1350868536610346,0.7679865565053261,0.35801165207318325,0.5316349785558844,0.5434936521267406,False
