antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ethnicity=Not Hispanic or Latino, outcome=originated, sex=Male",loan_type=Conventional,0.21959586784047314,0.8488224891525981,0.19015084894811607,0.8659126914275656,1.0201340121089735,1.0,0.0037529378001407154,1.1274557783053367,0.025290274177455094,0.21650675586461862,0.11304725272410579,0.5449649525651097
"occupancy=PrimaryRes, sex=Male",race=White,0.36285888230689695,0.7131647355553193,0.2612266986210029,0.7199126474739673,1.0094619259509425,1.0,0.0024485397767060046,1.024092169310004,0.014711398802432267,0.3206034441861569,0.02352539159266937,0.5431024368279469
"loan_type=Conventional, sex=Male",race=White,0.32673630908089407,0.7131647355553193,0.2402373382553319,0.7352636715861701,1.030987140739149,1.0,0.007220524793334987,1.0834752682537254,0.04464194032296375,0.3004229607250755,0.07704399971054746,0.536062302330572
"race=White, sex=Male",loan_type=Conventional,0.27604101235975687,0.8488224891525981,0.2402373382553319,0.8702958165587257,1.0252977833181176,1.0,0.005927519035919981,1.1655561666278098,0.034081483140978405,0.2715693342946407,0.14204048793873,0.5766600273180368
"outcome=originated, sex=Male",race=White,0.28041862757414404,0.7131647355553193,0.20726510180612867,0.739127438141843,1.036404916412906,1.0,0.007280425427428655,1.0995225500205739,0.04881470413076195,0.26358932763091597,0.09051433280628178,0.5148773412067228
"loan_type=Conventional, occupancy=PrimaryRes, sex=Male",race=White,0.30347600042519884,0.7131647355553193,0.2254423517360675,0.7428671506814418,1.0416487434743869,1.0,0.009013970145444583,1.1155138878787307,0.05740431302609105,0.28493783130175643,0.103552173696728,0.5294912725994914
"occupancy=PrimaryRes, race=White, sex=Male",loan_type=Conventional,0.2612266986210029,0.8488224891525981,0.2254423517360675,0.863014205386209,1.0167192981041053,1.0,0.003707255179472263,1.1035999117545154,0.02225900681211436,0.25485033864977064,0.09387451978843599,0.5643042155271039
"loan_type=Conventional, sex=Male","occupancy=PrimaryRes, race=White",0.32673630908089407,0.6843381876866285,0.2254423517360675,0.6899825500576736,1.0082479137838642,1.0,0.0018442181282303516,1.0182065957000008,0.012150428297568822,0.28695662869935307,0.017881042783349867,0.5097068760229624
"race=White, sex=Male","loan_type=Conventional, occupancy=PrimaryRes",0.27604101235975687,0.8023791807191658,0.2254423517360675,0.8166987572203745,1.0178463958752946,1.0,0.003952790393956657,1.0781204550720067,0.02421889449041892,0.2643003614034691,0.07245985799127538,0.5488330533822604
"occupancy=PrimaryRes, outcome=originated, sex=Male",race=White,0.26446400788550556,0.7131647355553193,0.19669311274533488,0.743742463550992,1.0428761076805948,1.0,0.008086708497768408,1.1193242096189326,0.05589573948061509,0.25186853437608275,0.10660379592750514,0.5097728293581191
